0	41129	5
0	43898	5
0	40188	5
0	39818	5
0	38877	4
1	42545	3
1	36178	4
1	45122	4
1	42541	2
2	45013	5
2	40772	5
2	43512	5
2	40874	4
2	42237	4
2	38870	1
3	37738	4
3	41952	4
3	40521	4
3	45072	4
3	38035	4
3	36653	4
3	40815	4
3	39455	4
3	36981	4
3	45278	1
3	37791	1
4	39825	5
4	38412	5
4	41124	5
4	39026	5
4	45277	1
5	43507	3
5	43895	4
5	40407	5
5	42627	4
5	42929	2
6	43895	1
6	39117	5
6	42545	5
6	40407	2
6	43409	3
7	41761	5
7	42965	2
7	44847	1
7	40084	5
7	43398	5
8	43898	5
8	41129	4
8	37795	5
8	39208	5
8	45281	5
8	37968	3
8	44122	2
9	39707	5
9	36082	5
9	37486	5
9	38500	5
10	38042	4
10	45082	4
10	41208	5
10	44497	4
10	45211	4
10	39986	3
11	44966	5
11	41448	1
11	40250	3
11	38042	4
11	45082	4
11	41639	1
11	44403	1
12	38451	5
12	44046	5
12	41278	5
12	35633	5
12	42671	5
12	39857	5
12	44282	4
12	45123	5
12	38298	5
12	40925	5
12	42869	4
12	41478	4
12	35844	4
13	36987	5
13	43972	5
13	42044	4
13	37824	3
13	39267	2
14	36947	4
14	41146	4
14	37494	2
14	39707	5
15	42541	5
15	40407	5
15	39825	5
15	38315	1
15	43905	4
16	44247	1
16	36022	3
16	44842	2
17	42812	5
17	43438	5
18	41346	5
18	35596	5
18	45137	5
18	41242	5
18	44009	5
18	37125	4
18	41129	5
19	40250	5
19	39982	5
19	41129	5
19	43898	4
19	40281	5
20	40407	5
20	39707	5
20	41351	2
20	37026	4
20	43905	5
21	37552	4
21	44757	4
21	44455	3
22	40993	5
22	40250	4
22	35436	4
22	38877	4
22	39174	3
23	44410	5
23	44966	1
23	40887	5
23	39475	5
24	39986	1
24	38042	3
24	45082	3
24	38181	4
24	44497	3
25	43898	4
25	43905	5
25	37031	4
25	44619	5
25	36063	4
26	36663	4
26	45083	4
26	43029	5
26	38181	3
26	40211	4
26	37509	3
27	38870	5
27	36350	4
27	38500	1
27	40250	4
27	38072	5
28	39147	5
28	35596	5
28	45137	5
28	41242	5
28	44009	5
28	39515	5
28	43048	5
28	41524	5
29	39707	3
29	41129	5
29	39026	5
29	43920	5
29	35504	4
29	36929	4
29	38322	4
30	43895	4
30	44928	4
30	42523	5
30	43898	5
30	38646	4
30	42850	4
31	44544	5
31	43305	5
31	43787	2
31	39410	4
31	45018	4
31	37908	2
32	38267	1
32	35291	2
32	39633	5
32	38219	3
33	43895	5
33	38877	2
33	43898	4
33	37486	3
33	35436	3
34	35436	2
34	40250	3
34	38877	3
34	38500	3
34	37487	2
35	42545	4
35	38268	3
35	42541	5
35	39026	5
35	38469	5
35	42692	5
36	42816	5
36	44970	3
36	44719	4
36	44497	3
37	43895	5
37	41129	5
37	43898	5
37	36814	1
37	39707	5
38	37486	5
38	36082	5
38	35974	5
38	37495	4
38	37715	3
38	43305	3
39	36784	5
39	43767	5
39	35390	5
39	35436	4
39	39659	2
40	37486	5
40	45191	5
40	36082	5
40	41034	1
40	45192	5
41	39577	4
41	40250	1
41	38500	5
41	41196	5
41	39780	5
41	41085	3
