0	41129	3
0	43898	5
0	40188	4
0	39818	3
0	38877	2
1	42545	2
1	36178	3
1	45122	3
1	42541	2
2	45013	5
2	40772	5
2	43512	3
2	40874	4
2	42237	4
2	38870	2
3	37738	3
3	41952	3
3	40521	3
3	45072	3
3	38035	3
3	36653	3
3	40815	3
3	39455	3
3	36981	4
3	45278	2
3	37791	2
4	39825	5
4	38412	3
4	41124	2
4	39026	3
4	45277	1
5	43507	3
5	43895	4
5	40407	5
5	42627	2
5	42929	4
6	43895	3
6	39117	4
6	42545	4
6	40407	2
6	43409	3
7	41761	4
7	42965	3
7	44847	2
7	40084	2
7	43398	5
8	43898	5
8	41129	3
8	37795	4
8	39208	4
8	45281	4
8	37968	4
8	44122	2
9	39707	5
9	36082	5
9	37486	5
9	38500	5
10	38042	4
10	45082	4
10	41208	3
10	44497	4
10	45211	3
10	39986	3
11	44966	5
11	41448	1
11	40250	3
11	38042	3
11	45082	3
11	41639	1
11	44403	1
12	38451	5
12	44046	5
12	41278	5
12	35633	5
12	42671	5
12	39857	5
12	44282	4
12	45123	4
12	38298	4
12	40925	4
12	42869	4
12	41478	4
12	35844	4
13	36987	4
13	43972	4
13	42044	3
13	37824	3
13	39267	3
14	36947	5
14	41146	5
14	37494	1
14	39707	4
15	42541	4
15	40407	4
15	39825	4
15	38315	1
15	43905	4
16	44247	2
16	36022	3
16	44842	2
17	42812	4
17	43438	4
18	41346	5
18	35596	3
18	45137	3
18	41242	3
18	44009	3
18	37125	5
18	41129	4
19	40250	4
19	39982	3
19	41129	4
19	43898	3
19	40281	4
20	40407	4
20	39707	4
20	41351	3
20	37026	3
20	43905	4
21	37552	3
21	44757	4
21	44455	4
22	40993	3
22	40250	3
22	35436	3
22	38877	3
22	39174	2
23	44410	1
23	44966	1
23	40887	5
23	39475	5
24	39986	3
24	38042	4
24	45082	4
24	38181	3
24	44497	3
25	43898	5
25	43905	5
25	37031	3
25	44619	5
25	36063	4
26	36663	3
26	45083	3
26	43029	5
26	38181	3
26	40211	3
26	37509	3
27	38870	5
27	36350	3
27	38500	2
27	40250	4
27	38072	3
28	39147	5
28	35596	2
28	45137	2
28	41242	2
28	44009	2
28	39515	4
28	43048	3
28	41524	5
29	39707	3
29	41129	4
29	39026	4
29	43920	4
29	35504	3
29	36929	3
29	38322	3
30	43895	4
30	44928	4
30	42523	4
30	43898	4
30	38646	4
30	42850	4
31	44544	4
31	43305	4
31	43787	1
31	39410	4
31	45018	4
31	37908	1
32	38267	3
32	35291	2
32	39633	5
32	38219	3
33	43895	4
33	38877	2
33	43898	4
33	37486	3
33	35436	4
34	35436	3
34	40250	4
34	38877	4
34	38500	3
34	37487	4
35	42545	4
35	38268	4
35	42541	3
35	39026	2
35	38469	3
35	42692	3
36	42816	3
36	44970	2
36	44719	2
36	44497	2
37	43895	5
37	41129	4
37	43898	4
37	36814	1
37	39707	5
38	37486	5
38	36082	5
38	35974	5
38	37495	4
38	37715	2
38	43305	2
39	36784	5
39	43767	5
39	35390	5
39	35436	4
39	39659	4
40	37486	5
40	45191	5
40	36082	5
40	41034	1
40	45192	5
41	39577	4
41	40250	1
41	38500	5
41	41196	5
41	39780	5
41	41085	4
