0	41129	3
0	43898	2
0	40188	4
0	39818	4
0	38877	2
1	42545	1
1	36178	4
1	45122	4
1	42541	2
2	45013	3
2	40772	3
2	43512	1
2	40874	3
2	42237	3
2	38870	1
3	37738	3
3	41952	3
3	40521	3
3	45072	4
3	38035	4
3	36653	4
3	40815	4
3	39455	4
3	36981	4
3	45278	1
3	37791	1
4	39825	5
4	38412	5
4	41124	5
4	39026	5
4	45277	1
5	43507	5
5	43895	4
5	40407	4
5	42627	3
5	42929	3
6	43895	2
6	39117	4
6	42545	5
6	40407	1
6	43409	3
7	41761	5
7	42965	1
7	44847	1
7	40084	5
7	43398	5
8	43898	1
8	41129	1
8	37795	5
8	39208	5
8	45281	5
8	37968	2
8	44122	1
9	39707	5
9	36082	5
9	37486	5
9	38500	5
10	38042	4
10	45082	4
10	41208	4
10	44497	4
10	45211	4
10	39986	2
11	44966	1
11	41448	1
11	40250	3
11	38042	4
11	45082	4
11	41639	1
11	44403	1
12	38451	5
12	44046	5
12	41278	5
12	35633	5
12	42671	5
12	39857	5
12	44282	1
12	45123	5
12	38298	5
12	40925	5
12	42869	1
12	41478	1
12	35844	1
13	36987	4
13	43972	4
13	42044	2
13	37824	3
13	39267	4
14	36947	2
14	41146	2
14	37494	1
14	39707	3
15	42541	3
15	40407	3
15	39825	5
15	38315	1
15	43905	2
16	44247	1
16	36022	3
16	44842	2
17	42812	2
17	43438	4
18	41346	3
18	35596	4
18	45137	4
18	41242	4
18	44009	4
18	37125	4
18	41129	3
19	40250	3
19	39982	4
19	41129	4
19	43898	2
19	40281	1
20	40407	4
20	39707	4
20	41351	2
20	37026	3
20	43905	4
21	37552	4
21	44757	4
21	44455	5
22	40993	2
22	40250	1
22	35436	2
22	38877	1
22	39174	1
23	44410	5
23	44966	1
23	40887	5
23	39475	5
24	39986	1
24	38042	3
24	45082	3
24	38181	4
24	44497	3
25	43898	3
25	43905	3
25	37031	2
25	44619	4
25	36063	3
26	36663	2
26	45083	2
26	43029	5
26	38181	2
26	40211	3
26	37509	2
27	38870	3
27	36350	1
27	38500	1
27	40250	2
27	38072	5
28	39147	5
28	35596	1
28	45137	1
28	41242	1
28	44009	1
28	39515	5
28	43048	4
28	41524	5
29	39707	1
29	41129	3
29	39026	3
29	43920	3
29	35504	3
29	36929	3
29	38322	3
30	43895	2
30	44928	4
30	42523	4
30	43898	3
30	38646	3
30	42850	3
31	44544	4
31	43305	3
31	43787	1
31	39410	3
31	45018	3
31	37908	2
32	38267	1
32	35291	2
32	39633	3
32	38219	1
33	43895	5
33	38877	2
33	43898	2
33	37486	4
33	35436	3
34	35436	1
34	40250	1
34	38877	2
34	38500	3
34	37487	2
35	42545	2
35	38268	1
35	42541	2
35	39026	3
35	38469	3
35	42692	3
36	42816	3
36	44970	1
36	44719	3
36	44497	1
37	43895	5
37	41129	5
37	43898	3
37	36814	1
37	39707	3
38	37486	4
38	36082	4
38	35974	4
38	37495	1
38	37715	4
38	43305	4
39	36784	5
39	43767	5
39	35390	2
39	35436	1
39	39659	1
40	37486	5
40	45191	5
40	36082	5
40	41034	1
40	45192	5
41	39577	2
41	40250	1
41	38500	3
41	41196	5
41	39780	5
41	41085	1
