0	41129	3
0	43898	4
0	40188	2
0	39818	3
0	38877	3
1	42545	2
1	36178	1
1	45122	3
1	42541	2
2	45013	3
2	40772	3
2	43512	1
2	40874	2
2	42237	2
2	38870	1
3	37738	2
3	41952	2
3	40521	2
3	45072	3
3	38035	3
3	36653	3
3	40815	3
3	39455	3
3	36981	2
3	45278	2
3	37791	2
4	39825	5
4	38412	1
4	41124	1
4	39026	2
4	45277	5
5	43507	2
5	43895	5
5	40407	3
5	42627	2
5	42929	3
6	43895	3
6	39117	3
6	42545	3
6	40407	2
6	43409	2
7	41761	2
7	42965	3
7	44847	4
7	40084	1
7	43398	2
8	43898	5
8	41129	3
8	37795	2
8	39208	2
8	45281	2
8	37968	4
8	44122	2
9	39707	5
9	36082	5
9	37486	5
9	38500	5
10	38042	3
10	45082	3
10	41208	2
10	44497	2
10	45211	3
10	39986	4
11	44966	5
11	41448	2
11	40250	5
11	38042	1
11	45082	1
11	41639	2
11	44403	2
12	38451	3
12	44046	3
12	41278	3
12	35633	3
12	42671	3
12	39857	3
12	44282	4
12	45123	2
12	38298	2
12	40925	3
12	42869	5
12	41478	5
12	35844	5
13	36987	4
13	43972	4
13	42044	3
13	37824	2
13	39267	3
14	36947	3
14	41146	3
14	37494	2
14	39707	4
15	42541	2
15	40407	3
15	39825	2
15	38315	4
15	43905	5
16	44247	2
16	36022	2
16	44842	2
17	42812	4
17	43438	2
18	41346	4
18	35596	3
18	45137	3
18	41242	3
18	44009	3
18	37125	5
18	41129	5
19	40250	2
19	39982	2
19	41129	4
19	43898	5
19	40281	3
20	40407	3
20	39707	3
20	41351	3
20	37026	4
20	43905	3
21	37552	1
21	44757	3
21	44455	2
22	40993	2
22	40250	5
22	35436	5
22	38877	5
22	39174	4
23	44410	5
23	44966	5
23	40887	5
23	39475	5
24	39986	5
24	38042	5
24	45082	5
24	38181	3
24	44497	3
25	43898	5
25	43905	4
25	37031	2
25	44619	4
25	36063	3
26	36663	4
26	45083	4
26	43029	2
26	38181	4
26	40211	2
26	37509	2
27	38870	4
27	36350	4
27	38500	5
27	40250	4
27	38072	3
28	39147	5
28	35596	5
28	45137	5
28	41242	5
28	44009	5
28	39515	2
28	43048	2
28	41524	5
29	39707	5
29	41129	3
29	39026	3
29	43920	3
29	35504	2
29	36929	2
29	38322	2
30	43895	5
30	44928	2
30	42523	3
30	43898	5
30	38646	2
30	42850	2
31	44544	3
31	43305	3
31	43787	5
31	39410	2
31	45018	2
31	37908	1
32	38267	5
32	35291	2
32	39633	2
32	38219	4
33	43895	4
33	38877	5
33	43898	5
33	37486	1
33	35436	4
34	35436	3
34	40250	4
34	38877	4
34	38500	3
34	37487	3
35	42545	2
35	38268	4
35	42541	2
35	39026	1
35	38469	2
35	42692	2
36	42816	3
36	44970	3
36	44719	2
36	44497	2
37	43895	3
37	41129	3
37	43898	5
37	36814	3
37	39707	4
38	37486	4
38	36082	4
38	35974	5
38	37495	5
38	37715	2
38	43305	2
39	36784	4
39	43767	5
39	35390	5
39	35436	5
39	39659	5
40	37486	2
40	45191	2
40	36082	2
40	41034	2
40	45192	2
41	39577	3
41	40250	3
41	38500	4
41	41196	1
41	39780	1
41	41085	4
